Time, DurationAdd, BiFlowsIn, SocketsIn, SocketsOut, FlowsBiMonitored, FlowsBiNotMonitored, BytesBiMonitored, BytesBiNotMonitored, FlowsUniOutMonitored, FlowsUniOutNotMonitored, BytesUniOutMonitored, BytesUniOutNotMonitored, FlowsUniInMonitored, FlowsUniInNotMonitored, BytesUniInMonitored, BytesUniInNotMonitored, FlowsBiNMOutHighInHigh, FlowsBiNMOutHighInLow, FlowsBiNMOutLowInLow, FlowsBiNMOutLowInHigh, BytesBiNMOutHighInHigh, BytesBiNMOutHighInLow, BytesBiNMOutLowInLow, BytesBiNMOutLowInHigh, FlowsUniOutNMOutHighInHigh, FlowsUniOutNMOutHighInLow, FlowsUniOutNMOutLowInLow, FlowsUniOutNMOutLowInHigh, BytesUniOutNMOutHighInHigh, BytesUniOutNMOutHighInLow, BytesUniOutNMOutLowInLow, BytesUniOutNMOutLowInHigh, FlowsUniInNMOutHighInHigh, FlowsUniInNMOutHighInLow, FlowsUniInNMOutLowInLow, FlowsUniInNMOutLowInHigh, BytesUniInNMOutHighInHigh, BytesUniInNMOutHighInLow, BytesUniInNMOutLowInLow, BytesUniInNMOutLowInHigh,
 1288572874, 2, 1828731, 86458, 57161, 77246, 662962, 14057446670, 58945424742, 36253, 422462, 8342149530, 11100750392, 422462, 599688, 2795991560, 1824318638, 155482, 307251, 23446, 135253, 46080661450, 46080661450, 9306880, 2307825108, 150325, 163913, 13874, 74671, 8200981002, 923634529, 8505946, 1917575111, 73654, 360983, 14349, 58137, 393139919, 874184176, 11061699, 274526361,
 1288573175, 2, 1779954, 93028, 49717, 69549, 623817, 13437854157, 40674755422, 39010, 405250, 8360731672, 19863578655, 405250, 608142, 2169189699, 2681458580, 153585, 283802, 24287, 127208, 33890326068, 33890326068, 11349322, 1908489622, 143474, 158794, 13893, 70316, 15041373168, 882168791, 10615058, 3811258719, 74674, 358339, 14737, 58691, 1496328574, 800754001, 3956511, 43160116,
 1288573477, 3, 1987193, 94869, 58681, 81107, 666941, 14469306004, 66894077294, 38323, 436267, 8630869510, 11559275228, 436267, 730435, 3289820898, 6830771183, 163158, 297381, 28133, 134919, 54645250832, 54645250832, 17222459, 3914213535, 156890, 169828, 14456, 74800, 8362256017, 1041008710, 16920831, 2113684956, 177172, 368524, 17557, 69853, 3084939298, 2244043404, 21866117, 420192262,
 1288573778, 2, 1809865, 90419, 51976, 71784, 662467, 15725244791, 52203980483, 40478, 415711, 8495128189, 19503518753, 415711, 589292, 2845802073, 1876414910, 157010, 313182, 22988, 132564, 41340380076, 41340380076, 9559439, 2962771288, 144412, 167362, 13930, 71895, 14865276848, 937141116, 13656235, 3570043955, 74498, 360919, 14451, 61945, 361034899, 984049489, 21359149, 120715724,
 1288574079, 2, 1808473, 99155, 51891, 73410, 656844, 13950497247, 69288697932, 46949, 416758, 7091792398, 11564068387, 416758, 583825, 2304148936, 2608821019, 151920, 310120, 24567, 130544, 61266398079, 61266398079, 11658932, 1486950028, 144375, 169078, 14049, 70629, 7538124406, 786717536, 13978936, 3120567156, 70798, 362696, 15693, 58947, 1581577888, 530340766, 4330192, 173271196,
 1288574380, 1, 1785417, 94516, 53672, 74871, 635656, 16100190831, 58012995538, 43652, 411986, 8226895843, 17370667270, 411986, 589587, 3314466049, 7020251254, 150841, 285618, 27328, 135447, 48954442191, 48954442191, 15646288, 4899184805, 142573, 164132, 14533, 71825, 12828316043, 944831955, 34252730, 3415907625, 82148, 353094, 17574, 59400, 3358523187, 1889940018, 20184309, 467280735,
 1288574681, 2, 2245413, 90619, 432485, 168376, 647768, 12984813857, 50806192560, 41738, 413212, 6790924173, 10588902293, 413212, 661329, 2271768333, 1562873576, 148579, 296564, 22979, 139088, 37768985168, 37768985168, 8887832, 2973264260, 147881, 158824, 13433, 75290, 7002295886, 682623507, 11641403, 2799282092, 171141, 349920, 15112, 57130, 313164160, 848037899, 22890588, 47594435,
 1288574982, 2, 1932983, 90863, 207672, 112656, 626112, 13079749685, 72950491292, 42835, 407074, 8161523685, 14682916964, 407074, 601262, 1922589361, 3091425794, 148874, 280506, 24963, 135234, 67848611226, 67848611226, 12255978, 1674298258, 145680, 157683, 14213, 71571, 11245650536, 783145161, 27098729, 2543726180, 74740, 379385, 15123, 59448, 1183990361, 1454643670, 5420246, 116582974,
 1288575283, 2, 1859564, 88110, 51398, 69204, 649340, 15393705795, 52785307977, 41106, 425150, 8448696983, 11620390055, 425150, 645566, 2087138621, 5059312716, 149985, 291442, 29607, 136345, 41485368575, 41485368575, 15261094, 3777399430, 150880, 160074, 14776, 76089, 6987596644, 660012482, 10018884, 3858300016, 74706, 404787, 17085, 66278, 2440685500, 957735783, 15043957, 476824946,
 1288575584, 2, 1963481, 89620, 60474, 72077, 691007, 13068684245, 44327859056, 42650, 447077, 9101169287, 13976854340, 447077, 675303, 2765395295, 1585854993, 147192, 324928, 23422, 157723, 28330995076, 28330995076, 10313937, 2474618071, 149049, 163369, 13555, 102988, 10594450657, 853163299, 27345686, 2439700097, 72957, 451537, 14595, 63463, 204211296, 837503702, 24158183, 77485667,
