Time, DurationAdd, BiFlowsIn, SocketsIn, SocketsOut, FlowsBiMonitored, FlowsBiNotMonitored, BytesBiMonitored, BytesBiNotMonitored, FlowsUniOutMonitored, FlowsUniOutNotMonitored, BytesUniOutMonitored, BytesUniOutNotMonitored, FlowsUniInMonitored, FlowsUniInNotMonitored, BytesUniInMonitored, BytesUniInNotMonitored, FlowsBiNMOutHighInHigh, FlowsBiNMOutHighInLow, FlowsBiNMOutLowInLow, FlowsBiNMOutLowInHigh, BytesBiNMOutHighInHigh, BytesBiNMOutHighInLow, BytesBiNMOutLowInLow, BytesBiNMOutLowInHigh, FlowsUniOutNMOutHighInHigh, FlowsUniOutNMOutHighInLow, FlowsUniOutNMOutLowInLow, FlowsUniOutNMOutLowInHigh, BytesUniOutNMOutHighInHigh, BytesUniOutNMOutHighInLow, BytesUniOutNMOutLowInLow, BytesUniOutNMOutLowInHigh, FlowsUniInNMOutHighInHigh, FlowsUniInNMOutHighInLow, FlowsUniInNMOutLowInLow, FlowsUniInNMOutLowInHigh, BytesUniInNMOutHighInHigh, BytesUniInNMOutHighInLow, BytesUniInNMOutLowInLow, BytesUniInNMOutLowInHigh,
1288572874, 3, 1828731, 470260, 279496, 400974, 339234, 14158839312, 58844032100, 230787, 227928, 8387189266, 11055710656, 227928, 512627, 2806508159, 1813802039, 155482, 104096, 22551, 15575, 46080661450, 46080661450, 8366229, 2275451419, 150325, 33511, 13334, 11079, 8200981002, 885847274, 6772053, 1912056523, 73654, 312372, 14118, 19918, 393139919, 870370937, 11022122, 267862578,
1288573175, 3, 1779954, 465311, 259621, 378753, 314613, 13535883924, 40576725655, 223647, 220613, 8406449722, 19817860605, 220613, 520549, 2180293128, 2670355151, 153585, 87198, 23498, 15397, 33890326068, 33890326068, 10381993, 1878164801, 143474, 33386, 13337, 11643, 15041373168, 843671317, 8514945, 3806138256, 74674, 309596, 14518, 20060, 1496328574, 796964676, 3906502, 35896021,
1288573477, 2, 1987193, 478613, 281617, 398995, 349053, 14571487170, 66791896128, 234039, 240551, 8677674732, 11512470006, 240551, 638301, 3307674777, 6812917304, 163158, 99254, 27137, 16154, 54645250832, 54645250832, 15951463, 3880752680, 156890, 37325, 13844, 12199, 8362256017, 1001437163, 15112928, 2108259184, 177172, 317247, 17261, 29292, 3084939298, 2233478105, 21795052, 412974747,
1288573778, 3, 1809865, 469643, 270417, 381220, 353031, 15824313931, 52104911343, 236231, 219958, 8542981647, 19455665295, 219958, 497667, 2856786659, 1865430324, 157010, 121056, 22100, 16142, 41340380076, 41340380076, 8680443, 2930900546, 144412, 33385, 13328, 10721, 14865276848, 897487662, 10816674, 3564683512, 74498, 309504, 14193, 21993, 361034899, 979967042, 21311374, 113861360,
1288574079, 2, 1808473, 490084, 267888, 391184, 339070, 14051444930, 69187750249, 244707, 219000, 7138178748, 11517682037, 219000, 493224, 2315318375, 2597651580, 151920, 108874, 23716, 14867, 61266398079, 61266398079, 10492085, 1455137555, 144375, 32519, 13536, 9943, 7538124406, 746727333, 12876254, 3115273691, 70798, 311148, 15448, 20139, 1581577888, 526238642, 4270870, 166263203,
1288574380, 2, 1785417, 469168, 275397, 390239, 320288, 16217094621, 57896091748, 237106, 218532, 8274450996, 17323112117, 218532, 502915, 3329384973, 7005332330, 150841, 90818, 26373, 15834, 48954442191, 48954442191, 14508986, 4866547987, 142573, 33251, 13917, 9868, 12828316043, 905578116, 31372445, 3410486596, 82148, 305943, 17287, 20166, 3358523187, 1882062000, 20107124, 460317014,
1288574681, 3, 2245413, 475060, 659598, 501076, 315068, 13090331718, 50700674699, 234649, 220301, 6836025997, 10543800469, 220301, 576128, 2282133371, 1552508538, 148579, 88420, 22182, 15329, 37768985168, 37768985168, 7997074, 2940013433, 147881, 31473, 12909, 10254, 7002295886, 644604505, 10209939, 2793630734, 171141, 302507, 14873, 19581, 313164160, 844272734, 22844542, 41040608,
1288574982, 4, 1932983, 481850, 424122, 427286, 311482, 13180372288, 72849868689, 231719, 218190, 8208969832, 14635470817, 218190, 498119, 1934851192, 3079163963, 148874, 84396, 24112, 17565, 67848611226, 67848611226, 11269986, 1642087684, 145680, 30663, 13662, 10258, 11245650536, 744591759, 23558789, 2538373375, 74740, 313161, 14868, 22784, 1183990361, 1449353513, 5361916, 109669630,
1288575283, 3, 1859564, 459591, 276094, 383002, 335542, 15493345515, 52685668257, 233684, 232572, 8494439791, 11574647247, 232572, 556562, 2103423101, 5043028236, 149985, 97317, 28722, 17557, 41485368575, 41485368575, 14125874, 3744643607, 150880, 33116, 14219, 11026, 6987596644, 621593118, 8375372, 3852620084, 74706, 356022, 16842, 26282, 2440685500, 948732625, 14993379, 469594202,
1288575584, 3, 1963481, 485035, 330857, 431331, 331753, 13183259421, 44213283880, 253581, 236146, 9150050535, 13927973092, 236146, 580531, 2777655083, 1573595205, 147192, 109800, 22490, 14529, 28330995076, 28330995076, 9176131, 2435055369, 149049, 33245, 12984, 22752, 10594450657, 814250198, 24242817, 2432834819, 72957, 403073, 14361, 17389, 204211296, 833644332, 24106746, 69136686,
