# VTS_0.9ratio, density
663.0, 25
940.0, 11
1044.0, 7
1036.0, 12
659.0, 18
322.0, 15
242.0, 57
564.0, 31
589.0, 25
225.0, 23
585.0, 17
442.0, 27
178.0, 20
560.0, 34
1053.0, 14
314.0, 19
1045.0, 10
238.0, 47
297.0, 36
511.0, 33
722.0, 14
957.0, 14
1139.0, 8
788.0, 8
434.0, 16
204.0, 36
784.0, 1
306.0, 23
234.0, 36
532.0, 42
332.0, 18
528.0, 25
426.0, 14
289.0, 57
710.0, 9
945.0, 15
1020.0, 5
503.0, 37
1198.0, 22
879.0, 9
409.0, 9
200.0, 19
281.0, 102
1190.0, 19
1099.0, 6
669.0, 20
264.0, 144
946.0, 12
690.0, 4
1008.0, 4
1075.0, 5
756.0, 14
867.0, 13
418.0, 16
324.0, 24
1180.0, 11
401.0, 16
752.0, 12
591.0, 18
934.0, 18
273.0, 143
22.0, 724
657.0, 23
393.0, 14
299.0, 41
913.0, 17
678.0, 13
256.0, 115
1051.0, 7
1156.0, 8
376.0, 15
980.0, 14
914.0, 16
252.0, 116
579.0, 35
839.0, 8
637.0, 122
1116.0, 2
901.0, 9
976.0, 17
1201.0, 38
835.0, 8
538.0, 30
291.0, 54
29.0, 526
385.0, 18
1193.0, 14
559.0, 23
41.0, 360
902.0, 10
505.0, 29
368.0, 12
21.0, 692
625.0, 13
1092.0, 4
1078.0, 7
248.0, 94
488.0, 23
526.0, 31
360.0, 13
547.0, 38
1054.0, 2
1137.0, 3
762.0, 10
40.0, 401
497.0, 32
1135.0, 6
55.0, 558
480.0, 26
28.0, 484
123.0, 81
39.0, 473
352.0, 12
1113.0, 3
919.0, 10
750.0, 4
684.0, 12
472.0, 28
920.0, 15
845.0, 15
986.0, 11
54.0, 574
1095.0, 3
1178.0, 7
982.0, 9
907.0, 14
841.0, 10
672.0, 13
730.0, 17
121.0, 88
38.0, 530
1071.0, 6
174.0, 27
53.0, 576
464.0, 28
908.0, 16
631.0, 45
718.0, 7
1154.0, 13
652.0, 26
887.0, 14
557.0, 38
349.0, 15
4.0, 5614
954.0, 11
553.0, 35
52.0, 588
170.0, 37
619.0, 14
813.0, 8
298.0, 31
230.0, 31
875.0, 15
1031.0, 6
640.0, 44
70.0, 101
166.0, 47
801.0, 4
341.0, 9
942.0, 13
876.0, 15
599.0, 23
290.0, 45
333.0, 13
226.0, 32
68.0, 124
1200.0, 38
525.0, 31
410.0, 11
316.0, 22
521.0, 32
864.0, 12
162.0, 48
587.0, 29
1134.0, 5
175.0, 33
222.0, 22
1176.0, 9
265.0, 167
1209.0, 241
1126.0, 4
325.0, 19
749.0, 6
724.0, 6
402.0, 14
445.0, 18
308.0, 27
218.0, 25
428.0, 15
745.0, 9
171.0, 29
720.0, 9
1185.0, 13
394.0, 15
650.0, 21
300.0, 36
257.0, 116
283.0, 102
1175.0, 8
1070.0, 5
881.0, 11
646.0, 36
377.0, 11
1151.0, 5
1062.0, 11
437.0, 30
