# VTS_0.9ratio, cdf
1044.0, 0.975810132359653
940.0, 0.966372697692908
663.0, 0.9444354470635
1036.0, 0.975221212879669
659.0, 0.943684574726521
242.0, 0.836147877681424
564.0, 0.921916638447608
322.0, 0.882032066665685
589.0, 0.927268444221964
1053.0, 0.976332798398139
585.0, 0.926517571884984
442.0, 0.895731806068815
178.0, 0.821631012499816
560.0, 0.920944921305634
225.0, 0.83110525463406
1045.0, 0.975883747294651
238.0, 0.834506264630968
314.0, 0.880898396666716
297.0, 0.877872822838297
511.0, 0.90927695410845
1139.0, 0.980212305472534
957.0, 0.968205709574358
788.0, 0.953467999587756
434.0, 0.89445090619985
722.0, 0.949286671279869
204.0, 0.827321446975162
234.0, 0.833225364762003
784.0, 0.953188262834764
532.0, 0.914216516246816
306.0, 0.879764726667746
528.0, 0.913215353130843
332.0, 0.883254074586652
426.0, 0.893309874707381
289.0, 0.875472975957362
1198.0, 0.984783792935911
1020.0, 0.973999204958702
945.0, 0.966873279250894
879.0, 0.96072643217856
503.0, 0.907547003135996
710.0, 0.948403292059893
409.0, 0.891322271462434
1190.0, 0.98369429189794
281.0, 0.871078164337981
200.0, 0.826408621781187
1099.0, 0.978754729759574
946.0, 0.966961617172892
264.0, 0.854146729288438
669.0, 0.94519368089398
1180.0, 0.982737297742966
1075.0, 0.977525360345107
1008.0, 0.973034849310228
867.0, 0.959710546075588
418.0, 0.892293988604408
690.0, 0.946967800827432
324.0, 0.882311803418678
756.0, 0.951399419914312
401.0, 0.890630291073453
752.0, 0.951082875693821
934.0, 0.965894200615421
22.0, 0.600204649519294
657.0, 0.943412199467028
273.0, 0.864143637461168
591.0, 0.927562903961956
1156.0, 0.98109568469251
1051.0, 0.976156122554144
913.0, 0.963832982435477
299.0, 0.878402850370283
678.0, 0.946099144594455
393.0, 0.889820526788475
256.0, 0.846203677802153
376.0, 0.887980153413525
980.0, 0.970517218533296
914.0, 0.963950766331473
839.0, 0.957141384844157
252.0, 0.842677522415748
579.0, 0.925251395003018
637.0, 0.938295961484666
1201.0, 0.98556411124689
1116.0, 0.979358372226557
976.0, 0.970075528923308
901.0, 0.962743481397506
835.0, 0.956913178545663
1193.0, 0.983988751637932
291.0, 0.876201763813843
538.0, 0.915666730466277
29.0, 0.628487507545531
385.0, 0.888944509061999
902.0, 0.962817096332504
559.0, 0.920694630526641
41.0, 0.67591761016475
505.0, 0.907915077810986
368.0, 0.887096774193548
21.0, 0.594874928225438
625.0, 0.932679141944318
1092.0, 0.978489715993581
1078.0, 0.977679951708603
488.0, 0.904234331061086
248.0, 0.839651948587329
526.0, 0.912825193975354
360.0, 0.886250202441071
547.0, 0.917698502672222
1137.0, 0.980123967550537
1054.0, 0.976347521385139
762.0, 0.951774856082802
40.0, 0.673267472504822
497.0, 0.906221934306032
1135.0, 0.980072437096038
55.0, 0.719806834410565
480.0, 0.902658971452128
28.0, 0.624615361964635
123.0, 0.80333033965931
39.0, 0.670315513611402
352.0, 0.885381546208095
1113.0, 0.97927003430456
919.0, 0.964377732954462
750.0, 0.950957730304324
684.0, 0.946562918684943
472.0, 0.901216118726167
986.0, 0.971039884571782
920.0, 0.964488155356959
845.0, 0.957627243415144
54.0, 0.715699121037676
1178.0, 0.98259006787297
1095.0, 0.978622222876577
982.0, 0.970686532883791
907.0, 0.963302954903491
841.0, 0.957340145168652
672.0, 0.945510225114471
730.0, 0.949831421798855
121.0, 0.802137777712342
38.0, 0.666833527185996
1071.0, 0.977297154046613
174.0, 0.82074763327984
53.0, 0.71147362376879
464.0, 0.899662843597709
908.0, 0.963420738799488
631.0, 0.934475346358269
1154.0, 0.980977900796514
887.0, 0.96149202750254
652.0, 0.942492012779553
718.0, 0.948933319591879
557.0, 0.920252940916653
349.0, 0.885035556013604
4.0, 0.388944509061999
954.0, 0.967881803860367
813.0, 0.955212673547209
52.0, 0.707233403512905
170.0, 0.819775916137866
619.0, 0.93186937765934
553.0, 0.91924441630718
1031.0, 0.974838415217679
875.0, 0.960395164971069
640.0, 0.939915490054622
298.0, 0.878101029136791
70.0, 0.749503099188763
230.0, 0.83223156313953
166.0, 0.818605438671398
942.0, 0.966542012043403
876.0, 0.960505587373566
801.0, 0.954366101794732
599.0, 0.928932141752919
341.0, 0.884174261274127
1200.0, 0.985284374493897
333.0, 0.88334977400215
226.0, 0.831340822426054
68.0, 0.747728979255311
290.0, 0.875804243164853
525.0, 0.91259698767686
864.0, 0.959401363348596
316.0, 0.881273832835206
521.0, 0.911654716508885
410.0, 0.891403247890932
162.0, 0.817457045685429
587.0, 0.926907731040474
1134.0, 0.980028268135039
175.0, 0.820990562565333
222.0, 0.830538419634575
1209.0, 0.990702433709751
1176.0, 0.982457560989974
1126.0, 0.979733808395047
265.0, 0.855376098702905
325.0, 0.882451671795174
445.0, 0.896247110613801
308.0, 0.880110716862237
724.0, 0.949389732188866
402.0, 0.89073335198245
749.0, 0.950928284330325
1185.0, 0.983164264365955
428.0, 0.893552803992874
745.0, 0.95072952400583
171.0, 0.81998939944936
218.0, 0.829794908791096
720.0, 0.949109995435874
650.0, 0.942065046156564
300.0, 0.878667864136276
394.0, 0.889930949190972
257.0, 0.847057611048129
1175.0, 0.982391307548475
1070.0, 0.977252985085614
881.0, 0.960888385035556
283.0, 0.872498932583443
646.0, 0.941277366352085
377.0, 0.888061129842022
1167.0, 0.981795026574992
1151.0, 0.980779140472019
1062.0, 0.976855464436625
437.0, 0.894958849251336
948.0, 0.967189823471386
882.0, 0.960976722957554
807.0, 0.954756260950222
420.0, 0.892544279383401
