# RATIO_0vts, cdf
0.988567165996834, 0.0851637446054031
0.996608078939254, 0.125512262472817
0.99924055563518, 0.154657841652017
0.0, 0.00133324229016769
0.99016393442623, 0.0902594614488131
0.997490426714149, 0.134520906558464
0.993694885361552, 0.105523465411505
0.979105526508124, 0.0654550210112967
0.997357723577236, 0.133036054250925
0.990827582541719, 0.092769128034081
0.999813458146791, 0.16009381303823
0.966789240378803, 0.0541762773143964
0.989789324599451, 0.0889892935551855
0.998079207484567, 0.141301114854425
0.986394873598628, 0.079198874150955
0.988457207207207, 0.0848159674281502
0.992601641595605, 0.100136101817121
0.998893829622134, 0.150868169881918
0.987547208538588, 0.0822681090064452
0.995130938140806, 0.114162343080739
0.997530864197531, 0.134984995237594
0.996135508310833, 0.121467399795616
0.939849290780142, 0.0431000660834503
0.987835862716588, 0.0831025427661768
0.998580049698261, 0.147196545606261
0.920254292193068, 0.0388324176936992
0.922319474835886, 0.0389851850394475
0.985864672307265, 0.0778604238830913
0.996360278139939, 0.123298293287843
0.99846287714622, 0.145817010181018
0.981295351473923, 0.0688390491852987
0.985310657596372, 0.0766857355805564
0.979996271439224, 0.0667616447487961
0.999406710978293, 0.156361429022787
0.995145631067961, 0.114275182597485
0.997358839662471, 0.13304531287794
0.998494689297199, 0.146196613888635
0.993016232540581, 0.102116290669966
0.929530201342282, 0.0407431668439308
0.999987794160726, 0.161293962565056
0.0585585585585586, 0.0022700996112534
0.975535168195719, 0.0612377164059399
0.746212121212121, 0.0204661950167755
0.527777777777778, 0.0121363240241696
0.999938717980145, 0.161048030284969
0.994510320597277, 0.110166088195366
0.970328282828283, 0.0564214943655468
0.986988847583643, 0.0806588438983912
0.982957838307737, 0.0716785543579779
0.997436702238962, 0.133921410459239
0.983189655172414, 0.0720732033344945
0.995630081300813, 0.11766557607756
0.993067121593934, 0.102434555973608
0.986968322682608, 0.0806304893531576
0.997246864484552, 0.131863680605144
0.995899470899471, 0.119633612982447
0.996692292405531, 0.126296931112343
0.976166000666, 0.0618048073106119
0.996590533422422, 0.125320724626443
0.994289228606572, 0.108856571136925
0.999980702474913, 0.161271973325896
0.998065429663443, 0.141143139530981
0.994685950941989, 0.111212313048067
0.997998064419773, 0.140360206884021
0.994993502377752, 0.113182664609708
0.994589464985061, 0.11059892900832
0.997605849435118, 0.135835052930413
0.996009326517801, 0.120506238578616
0.998757763975155, 0.149261219430618
0.955262413365649, 0.0482698519429807
0.995143312101911, 0.114208057551626
0.998385012919897, 0.144920659353123
0.989539879312607, 0.0882214061771245
0.996112730806608, 0.121298429852591
0.985236886632826, 0.0763668916127255
0.0642201834862385, 0.00258547159395365
0.994333333333333, 0.109107711394708
0.997706226101288, 0.136979072030961
0.993269927506843, 0.103363890660244
0.965482397338497, 0.0530160556165725
0.996959299244009, 0.128845946862425
0.976025132275132, 0.0617423115782603
0.99690649317515, 0.128341930354293
0.999984960822944, 0.16128528260223
0.996081143384048, 0.121084902767056
0.989898088957147, 0.0893445933668881
0.98544106167057, 0.0768489188816967
