# VTS_0.75ratio, cdf
1044.0, 0.99176930906977
940.0, 0.98782292553446
663.0, 0.975200405981252
1036.0, 0.991464468664947
659.0, 0.97495936938209
242.0, 0.93094124201197
564.0, 0.968486236987421
322.0, 0.94429277912245
589.0, 0.970273334321898
1053.0, 0.99208596499416
585.0, 0.970007485131646
442.0, 0.957835727649911
178.0, 0.915729351345699
560.0, 0.968172534942922
225.0, 0.927435577356502
1045.0, 0.991807709508362
238.0, 0.930174414792085
314.0, 0.943174440195452
297.0, 0.940611063225436
511.0, 0.96417002768967
1139.0, 0.995088879292061
957.0, 0.98842433548041
788.0, 0.981762745548651
434.0, 0.957062401894264
722.0, 0.978505797580063
204.0, 0.922574081830744
234.0, 0.929341420662626
784.0, 0.981575469563517
532.0, 0.965961260455996
306.0, 0.941991115910838
528.0, 0.965625699700299
332.0, 0.945635612921216
426.0, 0.95627726061905
289.0, 0.939366889015052
1198.0, 0.997255254804633
1020.0, 0.99087251113465
945.0, 0.988001339879919
879.0, 0.98552421620274
503.0, 0.963475275139143
710.0, 0.977849445468128
409.0, 0.954541560794688
1190.0, 0.99682576066838
281.0, 0.938005150384979
200.0, 0.921578033531263
1099.0, 0.993603668482515
946.0, 0.988039740318511
264.0, 0.93505481514915
669.0, 0.975557825448148
1180.0, 0.996435848522676
1075.0, 0.992818527207302
1008.0, 0.990427066046982
867.0, 0.985050413868112
418.0, 0.955467897528725
690.0, 0.976773051635593
324.0, 0.944569853056291
756.0, 0.980270445427364
401.0, 0.953714474425013
752.0, 0.980092031081906
934.0, 0.987605519974431
22.0, 0.712292689324501
657.0, 0.974840623410443
273.0, 0.936641639426971
591.0, 0.970410985124852
1156.0, 0.995572724818322
1051.0, 0.992028659724261
913.0, 0.986757165669535
299.0, 0.940915903630259
678.0, 0.976088933052675
393.0, 0.952864347792182
256.0, 0.933604460122326
376.0, 0.950947870518447
980.0, 0.989334130487053
914.0, 0.986797338436062
839.0, 0.98396220451601
252.0, 0.93287721489299
579.0, 0.969565584699847
637.0, 0.973604129287778
1201.0, 0.997463207949009
1116.0, 0.994251749730754
976.0, 0.989179937956707
901.0, 0.986305222046105
835.0, 0.983803876553815
1193.0, 0.996979953198727
291.0, 0.939668184764006
538.0, 0.96643329046269
29.0, 0.753804744994503
385.0, 0.951993544000109
902.0, 0.986343031708719
559.0, 0.968089826305955
41.0, 0.797758477782983
505.0, 0.963647781724818
368.0, 0.950052254135284
21.0, 0.704666952996091
625.0, 0.972819578788543
1092.0, 0.993374447402919
1078.0, 0.992911869811879
488.0, 0.962181475746578
248.0, 0.932148197335719
526.0, 0.965465008634191
360.0, 0.949129462057117
547.0, 0.967143403188654
1137.0, 0.995030392470206
1054.0, 0.992122002328839
762.0, 0.980549882465119
40.0, 0.794886715752273
497.0, 0.96295302917429
1135.0, 0.994965997888567
55.0, 0.829390986767209
480.0, 0.961438279565827
28.0, 0.748851088416124
123.0, 0.894416517151113
39.0, 0.791972417851123
352.0, 0.948151727812965
1113.0, 0.994138911518891
919.0, 0.987004110028481
750.0, 0.979982737525913
684.0, 0.976423312256416
472.0, 0.960707489680621
986.0, 0.989568077774476
920.0, 0.987045464346965
845.0, 0.984193197923541
54.0, 0.827602117104796
1178.0, 0.996363773853319
1095.0, 0.99347369776728
