# CESNET
137.165.1.114/32, planetlab, planetlab4.williams.edu
137.165.1.115/32, planetlab, planetlab5.williams.edu
# UNIPI
131.114.59.242/32, planetlab, onelab6.iet.unipi.it
131.114.59.243/32, planetlab, onelab7.iet.unipi.it
# TU Madrid
138.100.12.148/32, planetlab, planetlab1.ls.fi.upm.es
138.100.12.149/32, planetlab, planetlab2.ls.fi.upm.es
# UCB
169.229.50.5/32, planetlab, planetlab3.millennium.berkeley.edu
169.229.50.13/32, planetlab, planetlab11.millennium.berkeley.edu
169.229.50.12/32, planetlab, planetlab10.millennium.berkeley.edu
169.229.50.6/32, planetlab, planetlab4.millennium.berkeley.edu
169.229.50.18/32, planetlab, planetlab16.millennium.berkeley.edu
169.229.50.3/32, planetlab, planetlab1.millennium.berkeley.edu
169.229.50.7/32, planetlab, planetlab5.millennium.berkeley.edu
169.229.50.10/32, planetlab, planetlab8.millennium.berkeley.edu
169.229.50.11/32, planetlab, planetlab9.millennium.berkeley.edu
169.229.50.16/32, planetlab, planetlab14.millennium.berkeley.edu
169.229.50.8/32, planetlab, planetlab6.millennium.berkeley.edu
169.229.50.9/32, planetlab, planetlab7.millennium.berkeley.edu
169.229.50.15/32, planetlab, planetlab13.millennium.berkeley.edu
169.229.50.14/32, planetlab, planetlab12.millennium.berkeley.edu
169.229.50.17/32, planetlab, planetlab15.millennium.berkeley.edu
169.229.50.4/32, planetlab, planetlab2.millennium.berkeley.edu
# Austin
128.83.122.143/32, planetlab, planetlab6.csres.utexas.edu
128.83.122.162/32, planetlab, planetlab5.csres.utexas.edu
128.83.122.161/32, planetlab, planetlab4.csres.utexas.edu
128.83.122.152/32, planetlab, planetlab7.csres.utexas.edu
128.83.122.179/32, planetlab, planetlab1.csres.utexas.edu
128.83.122.180/32, planetlab, planetlab2.csres.utexas.edu
128.83.122.181/32, planetlab, planetlab3.csres.utexas.edu
# University of Zurich
192.41.135.218/32, planetlab, planetlab1.csg.uzh.ch
192.41.135.219/32, planetlab, planetlab2.csg.uzh.ch
# OrangeWarsaw
195.116.60.98/32, planetlab, planetlab2.wroclaw.rd.tp.pl
195.116.60.132/32, planetlab, planetlab4.gdansk.rd.tp.pl
195.116.53.25/32, planetlab, onelab5.warsaw.rd.tp.pl
195.116.60.212/32, planetlab, planetlab4.lublin.rd.tp.pl
195.116.60.131/32, planetlab, planetlab3.gdansk.rd.tp.pl
195.116.53.23/32, planetlab, onelab3.warsaw.rd.tp.pl
195.116.53.22/32, planetlab, onelab2.warsaw.rd.tp.pl
195.116.60.97/32, planetlab, planetlab1.wroclaw.rd.tp.pl
195.116.60.211/32, planetlab, planetlab3.lublin.rd.tp.pl
# Uppsala
193.10.133.133/32, planetlab, planetlab-3.it.uu.se
193.10.133.128/32, planetlab, planetlab-1.it.uu.se
193.10.133.134/32, planetlab, planetlab-4.it.uu.se
193.10.133.129/32, planetlab, planetlab-2.it.uu.se
# UCLA
131.179.50.70/32, planetlab, planetlab1.cs.ucla.edu
131.179.50.72/32, planetlab, planetlab2.cs.ucla.edu
# London
193.63.58.71/32, planetlab, planetlab2.cs.ucl.ac.uk
193.63.58.70/32, planetlab, planetlab1.cs.ucl.ac.uk
# TU MIET
82.179.176.42/32, planetlab, mercury.silicon-valley.ru
82.179.176.44/32, planetlab, venus.silicon-valley.ru
# HIIT
193.167.187.186/32, planetlab, planetlab4.hiit.fi
193.167.187.185/32, planetlab, planetlab3.hiit.fi
193.167.187.188/32, planetlab, planetlab2.hiit.fi
193.167.187.187/32, planetlab, planetlab1.hiit.fi
# Osaka University
133.1.172.60/32, planetlab, int-pl2.ise.eng.osaka-u.ac.jp
133.1.172.58/32, planetlab, int-pl1.ise.eng.osaka-u.ac.jp
133.1.74.162/32, planetlab, pub1-s.ane.cmc.osaka-u.ac.jp
133.1.74.163/32, planetlab, pub2-s.ane.cmc.osaka-u.ac.jp
133.1.16.171/32, planetlab, pl1-higashi.ics.es.osaka-u.ac.jp
133.1.16.172/32, planetlab, pl2-higashi.ics.es.osaka-u.ac.jp
# University of Puerto Rico at Mayaguez
136.145.115.196/32, planetlab, planetlab-02.ece.uprm.edu
136.145.115.194/32, planetlab, planetlab-01.ece.uprm.edu
# NCSU
152.14.92.58/32, planetlab, planet02.csc.ncsu.edu
152.14.92.59/32, planetlab, planet03.csc.ncsu.edu
152.14.93.140/32, planetlab, planet11.csc.ncsu.edu
152.14.93.139/32, planetlab, planet12.csc.ncsu.edu
# UST-HK
143.89.126.12/32, planetlab, plab1.cs.ust.hk
143.89.126.13/32, planetlab, plab2.cs.ust.hk
# UTA
129.107.35.131/32, planetlab, planetlab1.uta.edu
129.107.35.132/32, planetlab, planetlab2.uta.edu
# Politecnico di Milano
131.175.17.9/32, planetlab, planetlab1.elet.polimi.it
131.175.17.10/32, planetlab, planetlab2.elet.polimi.it
# WayneState
